Delta_AF3,Delta_AF4,Delta_F3,Delta_F7,Delta_F8,Delta_FC5,Delta_O2,Delta_P8,Delta_T8,Alpha_AF3,Alpha_AF4,Alpha_F3,Alpha_F7,Alpha_F8,Alpha_FC5,Alpha_O2,Alpha_P8,Alpha_T8,Beta_AF3,Beta_AF4,Beta_F3,Beta_F7,Beta_F8,Beta_FC5,Beta_O2,Beta_P8,Beta_T8,Gamma_AF3,Gamma_AF4,Gamma_F3,Gamma_F7,Gamma_F8,Gamma_FC5,Gamma_O2,Gamma_P8,Gamma_T8,Suj,Tarea_R0_E1,Tarea_R0_E1
11.311601,12.499065,11.2789,12.831716,6.987002,12.845807,12.845807,12.765682,11.744135,11.700419,11.500008,11.390438,9.975776,11.843811,11.375857,11.996429,12.250207,13.299248,20.860294,23.742618,21.327375,21.40371,24.65777,21.584232,21.584232,23.584138,23.682781,15.25533,15.27236,15.161106,15.246185,15.064913,15.259658,15.259658,15.412915,15.342554,1,0,2
11.299776,12.50183,11.25751,12.619234,6.898657,12.628746,12.628746,12.63533,11.663424,11.736092,11.431479,11.455859,9.997597,11.913831,11.383907,12.074776,12.266032,13.13442,20.838927,24.39392,21.29715,21.373054,24.658126,21.547328,21.547328,23.631508,23.744557,15.256916,15.270323,15.16383,15.249322,15.064606,15.26377,15.26377,15.40977,15.338846,1,0,2
11.289127,12.513001,11.233855,12.415033,6.811823,12.42061,12.42061,12.498693,11.596177,11.771984,11.368241,11.544358,10.00974,11.980891,11.38858,12.145043,12.276314,13.000523,20.817729,23.913658,21.266764,21.342466,24.658718,21.510614,21.510614,23.654779,23.761636,15.258619,15.268309,15.166584,15.252403,15.064255,15.267802,15.267802,15.406632,15.335117,1,0,2
11.279429,12.494205,11.207991,12.216883,6.747432,12.219559,12.219559,12.361445,11.540379,11.80721,11.313133,11.63106,10.007743,12.029942,11.390299,12.179162,12.281453,12.890394,20.796814,23.571761,21.236227,21.311852,24.659552,21.47399,21.47399,23.65091,23.733634,15.288553,15.266324,15.169364,15.255427,15.06386,15.271754,15.271754,15.40351,15.331373,1,0,2
11.270504,12.432582,11.180103,12.022694,6.641584,12.023889,12.023889,12.227474,11.487181,11.840598,11.267061,11.686473,9.98908,12.041316,11.388828,12.155917,12.28196,12.79853,20.776318,23.368367,21.205565,21.281105,24.660632,21.437333,21.437333,23.624648,23.679217,15.262362,15.264375,15.172166,15.258392,15.063422,15.275623,15.275623,15.400412,15.327625,1,0,2
11.262275,12.323803,11.150431,11.85541,6.457304,11.87193,11.87193,12.097399,11.436459,11.871202,11.229363,11.716033,9.955379,12.011898,11.38442,12.099259,12.278546,12.721006,20.756404,23.225699,21.174838,21.250094,24.661966,21.4005,21.4005,23.584735,23.616727,15.264391,15.262471,15.174982,15.261288,15.062942,15.279401,15.279401,15.39735,15.323883,1,0,2
11.254702,12.159092,11.119209,11.747245,6.124927,11.76288,11.76288,11.966586,11.385408,11.897772,11.19837,11.734099,9.93815,12.031721,11.37827,12.114882,12.272524,12.655157,20.737246,23.115959,21.144149,21.21866,24.663561,21.363303,21.363303,23.53893,23.555832,15.26652,15.627801,15.934189,15.264116,15.06242,15.283087,15.283087,15.394336,15.320161,1,0,2
11.247778,11.932857,11.086677,11.63211,5.94836,11.645361,11.645361,11.829309,11.292436,11.947499,11.171704,11.750048,9.937495,12.055063,11.371593,12.126659,12.266426,12.599053,20.719015,23.02652,21.113666,21.186613,24.665426,21.325507,21.325507,23.492155,23.500032,15.26875,15.399987,15.180645,15.26688,15.273131,15.286687,15.286687,15.391387,15.316477,1,0,2
11.241544,11.660994,11.053157,11.534785,5.914159,11.541401,11.541401,11.680121,11.055291,12.02615,11.146621,11.769129,9.927039,12.081489,11.364809,12.139497,12.264326,12.551002,20.701882,22.950587,21.083679,21.153727,24.667575,21.28683,21.28683,23.446905,23.449975,15.271075,15.257144,15.18349,15.269574,15.061251,15.290194,15.290194,15.388516,15.31285,1,0,2
11.236033,11.365328,11.01912,11.485232,5.880359,11.483873,11.483873,11.511064,11.209706,12.094477,11.120332,11.794203,9.910567,12.114724,11.358064,12.155651,12.269973,12.509125,20.685979,22.884043,21.054618,21.119741,24.670017,21.246907,21.246907,23.404213,23.405239,15.27349,15.255537,15.18634,15.272197,15.060606,15.293609,15.293609,15.385745,15.309302,1,0,2
